Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
2,1,5,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-5.296571429,0.877336191,4.072913752,0.542857143
0,1,5,1.28,0.95,0.61,1.93,2.16,2.76145322,1.7893,-5.083428571,0.942809042,4.126280155,0.435714286
2,1,5,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-5.366857143,0.928944203,4.072890082,0.457142857
0,1,5,1.28,0.95,0.58,1.93,1.9,2.76145322,1.98797081,-5.163714286,0.957094027,4.201731568,0.414285714
1,1,5,1.28,0.95,0.6,1.93,2.05,2.76145322,2.075848892,-5.121428571,0.947523087,4.148924717,0.428571429
2,1,5,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-5.412571429,0.928944203,4.072890082,0.457142857
2,1,5,1.28,0.95,0.76,1.93,1.38,2.76145322,2.0478,-5.644,0.877336191,4.072913752,0.542857143
0,1,5,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-5.004,0.93814167,4.106081989,0.442857143
1,2,4,1.61,1.35,0.87,0.89,1.12,2.942998888,2.268642439,-8.330214286,0.937617362,3.622472408,0.621428571
0,2,4,1.61,1.35,0.59,0.89,1.83,2.942998888,1.999521816,-7.567,1.069543423,3.809485555,0.421428571
0,2,4,1.61,1.35,0.71,0.89,1.3,2.942998888,2.027412322,-7.973785714,1.008716309,3.511192926,0.507142857
1,2,4,1.61,1.35,0.63,0.89,2.2,2.942998888,2.009082787,-7.4465,1.048468676,3.669602059,0.45
0,2,4,1.61,1.35,0.65,0.89,2.16,2.942998888,1.7893,-7.482785714,1.038239713,3.615536105,0.464285714
0,2,4,1.61,1.35,0.68,0.89,1.6,2.942998888,1.955055241,-7.782214286,1.023265102,3.552862825,0.485714286
1,2,4,1.61,1.35,0.78,0.89,2.33,2.942998888,2.362863567,-7.506928571,0.976326335,3.49134005,0.557142857
1,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.04250519,-7.437642857,1.053659115,3.700495376,0.442857143
1,2,4,1.61,1.35,0.85,0.89,1.13,2.942998888,2.340791612,-8.291,0.945951738,3.577731009,0.607142857
0,2,4,1.61,1.35,0.63,0.89,1.9,2.942998888,1.98797081,-7.5815,1.048468676,3.669602059,0.45
1,2,4,1.61,1.35,0.6,0.89,2.28,2.942998888,2.001424352,-7.385642857,1.064195706,3.770356148,0.428571429
0,2,4,1.61,1.35,0.62,0.89,2.2,2.942998888,2.018753288,-7.437642857,1.053659115,3.700495376,0.442857143
0,2,4,1.61,1.35,0.69,0.89,1.96,2.942998888,2.052287148,-7.617928571,1.018369096,3.536690513,0.492857143
0,2,4,1.61,1.35,0.68,0.89,1.5,2.942998888,1.956808277,-7.830785714,1.023265102,3.552862825,0.485714286
1,2,4,1.61,1.35,0.76,0.89,1.2,2.942998888,2.256932729,-8.1045,0.985366394,3.48617832,0.542857143
3,2,4,1.61,1.35,0.97,0.89,2.1,2.942998888,2.115491508,-7.816928571,0.898055448,3.994771156,0.692857143
1,2,4,1.61,1.35,0.94,0.89,1.3,2.942998888,2.246056043,-8.325357143,0.909568979,3.855224762,0.671428571
3,2,4,1.61,1.35,0.61,0.89,1.54,2.942998888,1.927848949,-7.716357143,1.0589012,3.734054282,0.435714286
1,2,4,1.61,1.35,0.89,0.89,1.38,2.942998888,2.0478,-8.198071429,0.929428564,3.67656419,0.635714286
1,2,4,1.61,1.35,0.58,0.89,1.63,2.942998888,1.758039163,-7.638357143,1.074945157,3.85153481,0.414285714
0,2,4,1.61,1.35,0.66,0.89,2.36,2.942998888,1.7456,-7.397642857,1.033199714,3.592240932,0.471428571
0,2,4,1.61,1.35,0.72,0.89,1.33,2.942998888,2.043777903,-7.973642857,1.003958213,3.501807034,0.514285714
1,3,3,1.38,0.9,0.75,2.02,1.93,2.514401896,2.488353231,-5.5995,0.914305512,1.919326011,0.535714286
1,3,3,1.38,0.9,0.58,2.02,2.18,2.514401896,1.932227032,-5.312571429,0.992806491,1.64849907,0.414285714
0,2,4,1.38,0.9,0.87,2.02,1.12,2.514401896,2.268642439,-6.232285714,0.865972181,4.485632554,0.621428571
1,3,3,1.38,0.9,0.61,2.02,1.88,2.514401896,1.930310969,-5.470285714,0.977988483,1.608473689,0.435714286
1,3,3,1.38,0.9,0.62,2.02,1.66,2.514401896,1.960053288,-5.578857143,0.973146956,1.603594181,0.442857143
0,3,3,1.38,0.9,0.91,2.02,1.22,2.514401896,2.255580699,-6.233571429,0.850976992,3.464288034,0.65
0,3,3,1.38,0.9,0.89,2.02,1.24,2.514401896,2.250676638,-6.189142857,0.858409106,3.178372872,0.635714286
1,3,3,1.38,0.9,0.95,2.02,1.2,2.514401896,2.354367494,-6.310571429,0.836492277,4.145257838,0.678571429
1,3,3,1.38,0.9,0.65,2.02,1.83,2.514401896,1.999521816,-5.538071429,0.958905781,1.613820779,0.464285714
3,3,3,1.38,0.9,0.62,2.02,1.81,2.514401896,1.974643898,-5.512428571,0.973146956,1.603594181,0.442857143
1,2,4,1.38,0.9,0.71,2.02,1.3,2.514401896,2.027412322,-5.875857143,0.931638318,3.821179691,0.507142857
0,3,3,1.38,0.9,0.9,2.02,1.23,2.514401896,2.25865608,-6.211285714,0.854676892,3.317198813,0.642857143
1,3,3,1.38,0.9,0.8,2.02,1.78,2.514401896,2.147680955,-5.739142857,0.893525842,2.241458642,0.571428571
0,2,4,1.38,0.9,0.63,2.02,2.2,2.514401896,2.009082787,-5.348571429,0.968353129,3.809323939,0.45
1,3,3,1.38,0.9,0.86,2.02,1.27,2.514401896,2.209114963,-6.123571429,0.869803917,2.807413114,0.614285714
1,3,3,1.38,0.9,0.65,2.02,1.55,2.514401896,2.16999357,-5.668071429,0.958905781,1.613820779,0.464285714
1,3,3,1.38,0.9,0.69,2.02,2.16,2.514401896,1.7893,-5.421428571,0.940553518,1.685155753,0.492857143
1,1,5,1.38,0.9,0.64,2.02,1.6,2.514401896,1.955055241,-5.631714286,0.9636063,3.993763013,0.457142857
1,3,3,1.38,0.9,0.6,2.02,1.91,2.514401896,2.103725488,-5.446285714,0.982878426,1.617550435,0.428571429
1,2,4,1.38,0.9,0.78,2.02,2.33,2.514401896,2.362863567,-5.409,0.901723326,3.996770709,0.557142857
1,2,4,1.38,0.9,0.62,2.02,2.2,2.514401896,2.04250519,-5.339714286,0.973146956,3.82175096,0.442857143
0,2,4,1.38,0.9,0.85,2.02,1.13,2.514401896,2.340791612,-6.193071429,0.873669712,4.347518069,0.607142857
0,1,5,1.38,0.9,0.58,2.02,1.9,2.514401896,1.98797081,-5.428571429,0.992806491,4.158695092,0.414285714
1,3,3,1.38,0.9,0.67,2.02,2.28,2.514401896,2.001424352,-5.345714286,0.949640991,1.641223191,0.478571429
1,2,4,1.38,0.9,0.62,2.02,2.2,2.514401896,2.018753288,-5.339714286,0.973146956,3.82175096,0.442857143
1,3,3,1.38,0.9,0.76,2.02,2.05,2.514401896,2.075848892,-5.545142857,0.910072617,1.974012444,0.542857143
1,3,3,1.38,0.9,0.75,2.02,1.36,2.514401896,2.074614707,-5.904857143,0.914305512,1.919326011,0.535714286
1,2,4,1.38,0.9,0.69,2.02,1.96,2.514401896,2.052287148,-5.52,0.940553518,3.799765671,0.492857143
1,1,5,1.38,0.9,0.64,2.02,1.5,2.514401896,1.956808277,-5.677428571,0.9636063,3.993763013,0.457142857
0,2,4,1.38,0.9,0.76,2.02,1.2,2.514401896,2.256932729,-6.006571429,0.910072617,3.930043384,0.542857143
0,2,4,1.38,0.9,0.97,2.02,2.1,2.514401896,2.115491508,-5.719,0.829433271,5.514266744,0.692857143
0,2,4,1.38,0.9,0.94,2.02,1.3,2.514401896,2.246056043,-6.227428571,0.840067031,5.136456719,0.671428571
2,2,4,1.38,0.9,0.61,2.02,1.54,2.514401896,1.927848949,-5.618428571,0.977988483,3.837343115,0.435714286
1,3,3,1.38,0.9,0.89,2.02,1.62,2.514401896,2.297683747,-5.947571429,0.858409106,3.178372872,0.635714286
0,3,3,1.38,0.9,0.88,2.02,1.25,2.514401896,2.119700811,-6.167142857,0.862174058,3.04738619,0.628571429
0,2,4,1.38,0.9,0.89,2.02,1.38,2.514401896,2.0478,-6.100142857,0.858409106,4.643259817,0.635714286
1,3,3,1.38,0.9,0.64,2.02,1.63,2.514401896,1.758039163,-5.618,0.9636063,1.606289039,0.457142857
0,2,4,1.38,0.9,0.66,2.02,2.36,2.514401896,1.7456,-5.299714286,0.954250899,3.790713441,0.471428571
0,3,3,1.38,0.9,0.9,2.02,1.22,2.514401896,2.235124352,-6.217714286,0.854676892,3.317198813,0.642857143
0,3,3,1.38,0.9,0.87,2.02,1.1,2.514401896,2.223980699,-6.244714286,0.865972181,2.923851129,0.621428571
1,2,4,1.38,0.9,0.72,2.02,1.33,2.514401896,2.043777903,-5.875714286,0.927243798,3.836554182,0.514285714
0,2,4,1.34,1.0,0.87,1.0,1.12,2.648077507,2.268642439,-7.069714286,0.85351215,4.741017178,0.621428571
2,2,4,1.34,1.0,0.59,1.0,1.83,2.648077507,1.999521816,-6.3065,0.973604312,3.910318678,0.421428571
1,2,4,1.34,1.0,0.71,1.0,1.3,2.648077507,2.027412322,-6.713285714,0.91823345,3.914661683,0.507142857
1,2,4,1.34,1.0,0.63,1.0,2.2,2.648077507,2.009082787,-6.186,0.95441999,3.85881909,0.45
1,2,4,1.34,1.0,0.65,1.0,2.16,2.648077507,1.7893,-6.222285714,0.945108576,3.853013344,0.464285714
1,2,4,1.34,1.0,0.68,1.0,1.6,2.648077507,1.955055241,-6.521714286,0.931477202,3.868922301,0.485714286
1,2,4,1.34,1.0,0.78,1.0,2.33,2.648077507,2.362863567,-6.246428571,0.88874889,4.144346517,0.557142857
1,2,4,1.34,1.0,0.62,1.0,2.2,2.648077507,2.04250519,-6.177142857,0.959144842,3.866667442,0.442857143
0,2,4,1.34,1.0,0.85,1.0,1.13,2.648077507,2.340791612,-7.0305,0.861098925,4.573729588,0.607142857
1,2,4,1.34,1.0,0.63,1.0,1.9,2.648077507,1.98797081,-6.321,0.95441999,3.85881909,0.45
1,2,4,1.34,1.0,0.6,1.0,2.28,2.648077507,2.001424352,-6.125142857,0.96873629,3.892378934,0.428571429
1,2,4,1.34,1.0,0.62,1.0,2.2,2.648077507,2.018753288,-6.177142857,0.959144842,3.866667442,0.442857143
1,2,4,1.34,1.0,0.69,1.0,1.96,2.648077507,2.052287148,-6.357428571,0.927020373,3.880820873,0.492857143
1,2,4,1.34,1.0,0.68,1.0,1.5,2.648077507,1.956808277,-6.570285714,0.931477202,3.868922301,0.485714286
0,2,4,1.34,1.0,0.76,1.0,1.2,2.648077507,2.256932729,-6.844,0.896978047,4.060189592,0.542857143
0,2,4,1.34,1.0,0.94,1.0,1.3,2.648077507,2.246056043,-7.064857143,0.827979735,5.530833695,0.671428571
1,2,4,1.34,1.0,0.61,1.0,1.54,2.648077507,1.927848949,-6.455857143,0.963916707,3.877842825,0.435714286
0,2,4,1.34,1.0,0.89,1.0,1.38,2.648077507,2.0478,-6.937571429,0.846057895,4.931808666,0.635714286
1,2,4,1.34,1.0,0.58,1.0,1.63,2.648077507,1.758039163,-6.377857143,0.978521505,3.931714492,0.414285714
1,2,4,1.34,1.0,0.66,1.0,2.36,2.648077507,1.7456,-6.137142857,0.94052067,3.855032703,0.471428571
1,2,4,1.34,1.0,0.72,1.0,1.33,2.648077507,2.043777903,-6.713142857,0.913902161,3.93668516,0.514285714
0,2,4,1.31,0.95,0.87,1.69,1.12,2.568546104,2.268642439,-6.298071429,0.844167126,4.967059278,0.621428571
1,2,4,1.31,0.95,0.59,1.69,1.83,2.568546104,1.999521816,-5.534857143,0.962944411,3.940013515,0.421428571
2,2,4,1.31,0.95,0.71,1.69,1.3,2.568546104,2.027412322,-5.941642857,0.9081798,3.996379133,0.507142857
1,2,4,1.31,0.95,0.63,1.69,2.2,2.568546104,2.009082787,-5.414357143,0.943970136,3.90306178,0.45
2,2,4,1.31,0.95,0.65,1.69,2.16,2.568546104,1.7893,-5.450642857,0.934760672,3.905432068,0.464285714
1,2,4,1.31,0.95,0.68,1.69,1.6,2.568546104,1.955055241,-5.750071429,0.921278547,3.934989738,0.485714286
1,2,4,1.31,0.95,0.78,1.69,2.33,2.568546104,2.362863567,-5.474785714,0.879018063,4.273268869,0.557142857
1,2,4,1.31,0.95,0.62,1.69,2.2,2.568546104,2.04250519,-5.4055,0.948643256,3.907063064,0.442857143
0,2,4,1.31,0.95,0.85,1.69,1.13,2.568546104,2.340791612,-6.258857143,0.851670834,4.773127417,0.607142857
2,2,4,1.31,0.95,0.63,1.69,1.9,2.568546104,1.98797081,-5.549357143,0.943970136,3.90306178,0.45
1,2,4,1.31,0.95,0.6,1.69,2.28,2.568546104,2.001424352,-5.3535,0.958129689,3.925510098,0.428571429
1,2,4,1.31,0.95,0.62,1.69,2.2,2.568546104,2.018753288,-5.4055,0.948643256,3.907063064,0.442857143
1,2,4,1.31,0.95,0.68,1.69,2.05,2.568546104,2.075848892,-5.5315,0.921278547,3.934989738,0.485714286
1,2,4,1.31,0.95,0.69,1.69,1.96,2.568546104,2.052287148,-5.585785714,0.916870515,3.951861548,0.492857143
2,2,4,1.31,0.95,0.68,1.69,1.5,2.568546104,1.956808277,-5.798642857,0.921278547,3.934989738,0.485714286
0,2,4,1.31,0.95,0.76,1.69,1.2,2.568546104,2.256932729,-6.072357143,0.887157119,4.17377922,0.542857143
1,2,4,1.31,0.95,0.61,1.69,1.54,2.568546104,1.927848949,-5.684214286,0.953362874,3.914537862,0.435714286
1,2,4,1.31,0.95,0.89,1.69,1.38,2.568546104,2.0478,-6.165928571,0.836794488,5.188443899,0.635714286
1,2,4,1.31,0.95,0.58,1.69,1.63,2.568546104,1.758039163,-5.606214286,0.967807766,3.95809193,0.414285714
0,2,4,1.31,0.95,0.66,1.69,2.36,2.568546104,1.7456,-5.3655,0.930222999,3.911803514,0.471428571
1,2,4,1.31,0.95,0.72,1.69,1.33,2.568546104,2.043777903,-5.9415,0.903895933,4.024142317,0.514285714
1,3,3,1.34,0.94,0.75,1.12,1.93,2.577786082,2.488353231,-6.322071429,0.901150037,2.102445808,0.535714286
1,3,3,1.34,0.94,0.58,1.12,2.18,2.577786082,1.932227032,-6.035142857,0.978521505,1.690675187,0.414285714
1,3,3,1.34,0.94,0.61,1.12,1.88,2.577786082,1.930310969,-6.192857143,0.963916707,1.669223254,0.435714286
1,3,3,1.34,0.94,0.62,1.12,1.66,2.577786082,1.960053288,-6.301428571,0.959144842,1.670968905,0.442857143
1,3,3,1.34,0.94,0.91,1.12,1.22,2.577786082,2.255580699,-6.956142857,0.838732719,3.95398448,0.65
1,3,3,1.34,0.94,0.89,1.12,1.24,2.577786082,2.250676638,-6.911714286,0.846057895,3.611196145,0.635714286
0,3,3,1.34,0.94,0.95,1.12,1.2,2.577786082,2.354367494,-7.033142857,0.824456417,4.776112306,0.678571429
1,3,3,1.34,0.94,0.65,1.12,1.83,2.577786082,1.999521816,-6.260642857,0.945108576,1.702596939,0.464285714
1,3,3,1.34,0.94,0.62,1.12,1.81,2.577786082,1.974643898,-6.235,0.959144842,1.670968905,0.442857143
0,3,3,1.34,0.94,0.94,1.12,1.2,2.577786082,2.28415608,-7.017142857,0.827979735,4.551569691,0.671428571
1,3,3,1.34,0.94,0.63,1.12,2.01,2.577786082,1.899964183,-6.156642857,0.95441999,1.677117524,0.45
1,2,4,1.34,0.94,0.71,1.12,1.3,2.577786082,2.027412322,-6.598428571,0.91823345,3.914661683,0.507142857
1,3,3,1.34,0.94,0.9,1.12,1.23,2.577786082,2.25865608,-6.933857143,0.842379383,3.777486596,0.642857143
1,3,3,1.34,0.94,0.8,1.12,1.78,2.577786082,2.147680955,-6.461714286,0.880669355,2.491899467,0.571428571
1,3,3,1.34,0.94,0.68,1.12,2.2,2.577786082,2.009082787,-6.115428571,0.931477202,1.773971687,0.485714286
1,3,3,1.34,0.94,0.86,1.12,1.27,2.577786082,2.209114963,-6.846142857,0.857288752,3.167924149,0.614285714
1,4,2,1.14,0.94,0.72,1.12,1.31,2.577786082,2.046489492,-5.785714286,0.847193974,-0.273427665,0.514285714
1,3,3,1.34,0.94,0.65,1.12,1.55,2.577786082,2.16999357,-6.390642857,0.945108576,1.702596939,0.464285714
1,3,3,1.34,0.94,0.69,1.12,2.16,2.577786082,1.7893,-6.144,0.927020373,1.806738556,0.492857143
1,3,3,1.34,0.94,0.72,1.12,1.6,2.577786082,1.955055241,-6.459428571,0.913902161,1.932805518,0.514285714
1,3,3,1.34,0.94,0.6,1.12,1.91,2.577786082,2.103725488,-6.168857143,0.96873629,1.671901735,0.428571429
0,2,4,1.34,0.94,0.78,1.12,2.33,2.577786082,2.362863567,-6.131571429,0.88874889,4.144346517,0.557142857
1,3,3,1.34,0.94,0.63,1.12,1.9,2.577786082,1.98797081,-6.206142857,0.95441999,1.677117524,0.45
1,3,3,1.34,0.94,0.67,1.12,2.28,2.577786082,2.001424352,-6.068285714,0.935977092,1.745722484,0.478571429
1,3,3,1.34,0.94,0.68,1.12,2.2,2.577786082,2.018753288,-6.115428571,0.931477202,1.773971687,0.485714286
0,3,3,1.34,0.94,0.76,1.12,2.05,2.577786082,2.075848892,-6.267714286,0.896978047,2.169231756,0.542857143
1,3,3,1.34,0.94,0.75,1.12,1.36,2.577786082,2.074614707,-6.627428571,0.901150037,2.102445808,0.535714286
0,3,3,1.34,0.94,0.96,1.12,1.17,2.577786082,2.311832729,-7.069714286,0.820962958,5.01487117,0.685714286
1,2,4,1.34,0.94,0.69,1.12,1.96,2.577786082,2.052287148,-6.242571429,0.927020373,3.880820873,0.492857143
1,3,3,1.34,0.94,0.72,1.12,1.5,2.577786082,1.956808277,-6.510857143,0.913902161,1.932805518,0.514285714
0,3,3,1.34,0.94,0.92,1.12,1.2,2.577786082,2.256932729,-6.985142857,0.835117492,4.141340268,0.657142857
0,2,4,1.34,0.94,0.94,1.12,1.3,2.577786082,2.246056043,-6.95,0.827979735,5.530833695,0.671428571
1,3,3,1.34,0.94,0.67,1.12,1.54,2.577786082,1.927848949,-6.422428571,0.935977092,1.745722484,0.478571429
1,3,3,1.34,0.94,0.89,1.12,1.62,2.577786082,2.297683747,-6.670142857,0.846057895,3.611196145,0.635714286
1,3,3,1.34,0.94,0.88,1.12,1.25,2.577786082,2.119700811,-6.889714286,0.849768676,3.454522373,0.628571429
0,2,4,1.34,0.94,0.89,1.12,1.38,2.577786082,2.0478,-6.822714286,0.846057895,4.931808666,0.635714286
1,3,3,1.34,0.94,0.64,1.12,1.63,2.577786082,1.758039163,-6.340571429,0.949741461,1.687659561,0.457142857
1,3,3,1.34,0.94,0.66,1.12,2.36,2.577786082,1.7456,-6.022285714,0.94052067,1.721942993,0.471428571
0,3,3,1.34,0.94,0.9,1.12,1.22,2.577786082,2.235124352,-6.940285714,0.842379383,3.777486596,0.642857143
0,3,3,1.34,0.94,0.87,1.12,1.1,2.577786082,2.223980699,-6.967285714,0.85351215,3.306928065,0.621428571
1,4,2,1.14,0.94,0.74,1.12,1.65,2.577786082,2.096140752,-5.636428571,0.839276273,0.151754243,0.528571429
1,2,4,1.34,0.94,0.72,1.12,1.33,2.577786082,2.043777903,-6.598285714,0.913902161,3.93668516,0.514285714
0,2,4,0.9,0.63,0.58,1.88,1.63,2.233562861,1.758039163,-3.964142857,0.821386665,5.47725185,0.414285714
0,1,5,1.88,1.67,0.76,0.79,2.02,3.300175886,2.215655462,-8.948857143,1.073754742,3.573319419,0.542857143
3,1,5,1.88,1.67,0.77,0.79,2.1,3.300175886,2.115491508,-8.915,1.068806563,3.553403075,0.55
1,1,5,1.88,1.67,0.76,0.79,1.38,3.300175886,2.0478,-9.296285714,1.073754742,3.573319419,0.542857143
0,3,3,1.08,0.99,0.58,1.22,2.18,2.550861398,1.932227032,-4.888285714,0.8856691,2.39933722,0.414285714
1,3,3,1.08,0.99,0.61,1.22,1.88,2.550861398,1.930310969,-5.046,0.872450158,2.592949714,0.435714286
1,3,3,1.08,0.99,0.62,1.22,1.66,2.550861398,1.960053288,-5.154571429,0.868131098,2.673985573,0.442857143
1,3,3,1.08,0.99,0.65,1.22,1.83,2.550861398,1.999521816,-5.113785714,0.85542674,2.971029231,0.464285714
1,3,3,1.08,0.99,0.62,1.22,1.81,2.550861398,1.974643898,-5.088142857,0.868131098,2.673985573,0.442857143
0,2,4,1.19,0.99,0.71,1.22,1.3,2.550861398,2.027412322,-5.896285714,0.867965196,4.462593136,0.507142857
0,2,4,1.19,0.99,0.63,1.22,2.2,2.550861398,2.009082787,-5.369,0.902170721,4.162229303,0.45
0,2,4,1.19,0.99,0.65,1.22,2.16,2.550861398,1.7893,-5.405285714,0.893369055,4.20861569,0.464285714
0,2,4,1.19,0.99,0.68,1.22,1.6,2.550861398,1.955055241,-5.704714286,0.880483925,4.313114555,0.485714286
