Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
1,3,3,1.08,0.99,0.6,1.22,1.91,2.550861398,2.103725488,-5.022,0.876812409,2.520339985,0.428571429
0,2,4,1.19,0.99,0.78,1.22,2.33,2.550861398,2.362863567,-5.429428571,0.840094754,5.018300084,0.557142857
1,2,4,1.19,0.99,0.62,1.22,2.2,2.550861398,2.04250519,-5.360142857,0.906636913,4.145754402,0.442857143
0,2,4,1.19,0.99,0.63,1.22,1.9,2.550861398,1.98797081,-5.504,0.902170721,4.162229303,0.45
0,2,4,1.19,0.99,0.6,1.22,2.28,2.550861398,2.001424352,-5.308142857,0.915703282,4.125957037,0.428571429
0,2,4,1.19,0.99,0.62,1.22,2.2,2.550861398,2.018753288,-5.360142857,0.906636913,4.145754402,0.442857143
0,2,4,1.19,0.99,0.69,1.22,1.96,2.550861398,2.052287148,-5.540428571,0.876271083,4.357733849,0.492857143
0,2,4,1.19,0.99,0.68,1.22,1.5,2.550861398,1.956808277,-5.753285714,0.880483925,4.313114555,0.485714286
0,2,4,1.19,0.99,0.76,1.22,1.2,2.550861398,2.256932729,-6.027,0.847873409,4.826154595,0.542857143
1,2,4,1.19,0.99,0.61,1.22,1.54,2.550861398,1.927848949,-5.638857143,0.911147544,4.133677569,0.435714286
1,2,4,1.19,0.99,0.58,1.22,1.63,2.550861398,1.758039163,-5.560857143,0.92495281,4.123490772,0.414285714
0,2,4,1.19,0.99,0.66,1.22,2.36,2.550861398,1.7456,-5.320142857,0.889032312,4.238687559,0.471428571
0,2,4,1.19,0.99,0.72,1.22,1.33,2.550861398,2.043777903,-5.896142857,0.86387102,4.523222518,0.514285714
0,3,3,1.06,0.89,0.58,1.24,2.18,2.536253277,1.932227032,-4.792285714,0.878526607,2.50632085,0.414285714
1,3,3,1.06,0.89,0.61,1.24,1.88,2.536253277,1.930310969,-4.95,0.86541427,2.72946993,0.435714286
1,3,3,1.06,0.89,0.62,1.24,1.66,2.536253277,1.960053288,-5.058571429,0.86113004,2.821717737,0.442857143
1,3,3,1.06,0.89,0.65,1.24,1.83,2.536253277,1.999521816,-5.017785714,0.848528137,3.157505173,0.464285714
1,3,3,1.06,0.89,0.62,1.24,1.81,2.536253277,1.974643898,-4.992142857,0.86113004,2.821717737,0.442857143
0,3,3,1.06,0.89,0.63,1.24,2.01,2.536253277,1.899964183,-4.913785714,0.856888021,2.923503551,0.45
0,3,3,1.06,0.89,0.71,1.24,1.3,2.536253277,2.027412322,-5.355571429,0.824399375,4.147801615,0.507142857
0,3,3,1.06,0.89,0.68,1.24,2.2,2.536253277,2.009082787,-4.872571429,0.836289751,3.593042791,0.485714286
1,3,3,1.06,0.89,0.65,1.24,1.55,2.536253277,2.16999357,-5.147785714,0.848528137,3.157505173,0.464285714
0,3,3,1.06,0.89,0.69,1.24,2.16,2.536253277,1.7893,-4.901142857,0.832288364,3.763543667,0.492857143
0,3,3,1.06,0.89,0.72,1.24,1.6,2.536253277,1.955055241,-5.216571429,0.820510699,4.363718673,0.514285714
1,3,3,1.06,0.89,0.6,1.24,1.91,2.536253277,2.103725488,-4.926,0.869741341,2.646373089,0.428571429
0,3,3,1.06,0.89,0.63,1.24,1.9,2.536253277,1.98797081,-4.963285714,0.856888021,2.923503551,0.45
0,3,3,1.06,0.89,0.67,1.24,2.28,2.536253277,2.001424352,-4.825428571,0.840329798,3.435721459,0.478571429
0,3,3,1.06,0.89,0.68,1.24,2.2,2.536253277,2.018753288,-4.872571429,0.836289751,3.593042791,0.485714286
0,3,3,1.06,0.89,0.72,1.24,1.5,2.536253277,1.956808277,-5.268,0.820510699,4.363718673,0.514285714
1,3,3,1.06,0.89,0.67,1.24,1.54,2.536253277,1.927848949,-5.179571429,0.840329798,3.435721459,0.478571429
1,3,3,1.06,0.89,0.64,1.24,1.63,2.536253277,1.758039163,-5.097714286,0.852687589,3.035266936,0.457142857
0,3,3,1.06,0.89,0.66,1.24,2.36,2.536253277,1.7456,-4.779428571,0.844409069,3.290779345,0.471428571
0,3,3,1.06,0.89,0.72,1.24,1.33,2.536253277,2.043777903,-5.355428571,0.820510699,4.363718673,0.514285714
1,3,3,1.12,1.06,0.75,1.2,1.93,2.675987786,2.488353231,-5.352928571,0.828794925,4.038436783,0.535714286
3,3,3,1.12,1.06,0.58,1.2,2.18,2.675987786,1.932227032,-5.066,0.899954085,2.217154328,0.414285714
0,2,4,1.48,1.06,0.87,1.2,1.12,2.675987786,2.268642439,-7.446285714,0.89712226,4.012869866,0.621428571
1,3,3,1.12,1.06,0.65,1.2,1.83,2.675987786,1.999521816,-5.2915,0.869223946,2.654159611,0.464285714
2,3,3,1.12,1.06,0.62,1.2,1.81,2.675987786,1.974643898,-5.265857143,0.882133212,2.422217868,0.442857143
1,2,4,1.48,1.06,0.71,1.2,1.3,2.675987786,2.027412322,-7.089857143,0.965150488,3.647569868,0.507142857
1,2,4,1.48,1.06,0.63,1.2,2.2,2.675987786,2.009082787,-6.562571429,1.003185975,3.723376904,0.45
1,2,4,1.48,1.06,0.65,1.2,2.16,2.675987786,1.7893,-6.598857143,0.993398795,3.68825035,0.464285714
1,2,4,1.48,1.06,0.68,1.2,1.6,2.675987786,1.955055241,-6.898285714,0.979070928,3.655989024,0.485714286
1,3,3,1.12,1.06,0.6,1.2,1.91,2.675987786,2.103725488,-5.199714286,0.890954544,2.305473586,0.428571429
1,2,4,1.48,1.06,0.78,1.2,2.33,2.675987786,2.362863567,-6.623,0.934159417,3.719698292,0.557142857
1,2,4,1.48,1.06,0.62,1.2,2.2,2.675987786,2.04250519,-6.553714286,1.008152242,3.745152063,0.442857143
0,2,4,1.48,1.06,0.85,1.2,1.13,2.675987786,2.340791612,-7.407071429,0.90509668,3.926535441,0.607142857
1,2,4,1.48,1.06,0.63,1.2,1.9,2.675987786,1.98797081,-6.697571429,1.003185975,3.723376904,0.45
1,2,4,1.48,1.06,0.6,1.2,2.28,2.675987786,2.001424352,-6.501714286,1.018233765,3.797404393,0.428571429
1,2,4,1.48,1.06,0.62,1.2,2.2,2.675987786,2.018753288,-6.553714286,1.008152242,3.745152063,0.442857143
1,3,3,1.12,1.06,0.76,1.2,2.05,2.675987786,2.075848892,-5.298571429,0.824957911,4.243460665,0.542857143
1,3,3,1.12,1.06,0.75,1.2,1.36,2.675987786,2.074614707,-5.658285714,0.828794925,4.038436783,0.535714286
1,2,4,1.48,1.06,0.69,1.2,1.96,2.675987786,2.052287148,-6.734,0.974386378,3.65055888,0.492857143
1,2,4,1.48,1.06,0.68,1.2,1.5,2.675987786,1.956808277,-6.946857143,0.979070928,3.655989024,0.485714286
1,2,4,1.48,1.06,0.76,1.2,1.2,2.675987786,2.256932729,-7.220571429,0.942809042,3.685856125,0.542857143
1,2,4,1.48,1.06,0.97,1.2,2.1,2.675987786,2.115491508,-6.933,0.859269,4.665871837,0.692857143
1,2,4,1.48,1.06,0.94,1.2,1.3,2.675987786,2.246056043,-7.441428571,0.870285269,4.426605208,0.671428571
1,2,4,1.48,1.06,0.61,1.2,1.54,2.675987786,1.927848949,-6.832428571,1.013167925,3.76980693,0.435714286
0,2,4,1.48,1.06,0.89,1.2,1.38,2.675987786,2.0478,-7.314142857,0.889287131,4.112554496,0.635714286
1,2,4,1.48,1.06,0.58,1.2,1.63,2.675987786,1.758039163,-6.754428571,1.028518954,3.861717663,0.414285714
1,2,4,1.48,1.06,0.66,1.2,2.36,2.675987786,1.7456,-6.513714286,0.988576471,3.674808377,0.471428571
1,2,4,1.48,1.06,0.72,1.2,1.33,2.675987786,2.043777903,-7.089714286,0.960597891,3.649993054,0.514285714
0,2,4,0.92,0.67,0.6,1.83,2.28,2.290643632,2.001424352,-3.815714286,0.820243866,5.507762171,0.428571429
0,1,5,0.92,0.67,0.6,1.83,2.05,2.290643632,2.075848892,-3.914285714,0.820243866,4.920547752,0.428571429
0,2,4,0.92,0.67,0.58,1.83,1.63,2.290643632,1.758039163,-4.068428571,0.828529158,5.290230255,0.414285714
0,3,3,1.11,0.94,0.75,1.2,1.93,2.57181216,2.488353231,-5.312357143,0.825506056,4.191981316,0.535714286
0,3,3,1.11,0.94,0.58,1.2,2.18,2.57181216,1.932227032,-5.025428571,0.896382839,2.259106017,0.414285714
1,3,3,1.11,0.94,0.62,1.2,1.66,2.57181216,1.960053288,-5.291714286,0.878632684,2.480259443,0.442857143
1,3,3,1.11,0.94,0.65,1.2,1.83,2.57181216,1.999521816,-5.250928571,0.865774644,2.727133256,0.464285714
1,3,3,1.11,0.94,0.62,1.2,1.81,2.57181216,1.974643898,-5.225285714,0.878632684,2.480259443,0.442857143
1,2,4,1.11,0.94,0.71,1.2,1.3,2.57181216,2.027412322,-5.588714286,0.84115546,4.969164083,0.507142857
0,2,4,1.11,0.94,0.63,1.2,2.2,2.57181216,2.009082787,-5.061428571,0.874304444,4.443687046,0.45
1,3,3,1.11,0.94,0.65,1.2,1.55,2.57181216,2.16999357,-5.380928571,0.865774644,2.727133256,0.464285714
0,3,3,1.11,0.94,0.69,1.2,2.16,2.57181216,1.7893,-5.134285714,0.849204795,3.180113837,0.492857143
0,3,3,1.11,0.94,0.72,1.2,1.6,2.57181216,1.955055241,-5.449714286,0.837187746,3.629091633,0.514285714
1,3,3,1.11,0.94,0.6,1.2,1.91,2.57181216,2.103725488,-5.159142857,0.88741901,2.355000367,0.428571429
1,2,4,1.11,0.94,0.62,1.2,2.2,2.57181216,2.04250519,-5.052571429,0.878632684,4.406194467,0.442857143
0,3,3,1.11,0.94,0.63,1.2,1.9,2.57181216,1.98797081,-5.196428571,0.874304444,2.554419459,0.45
1,3,3,1.11,0.94,0.67,1.2,2.28,2.57181216,2.001424352,-5.058571429,0.857409672,2.934598312,0.478571429
0,2,4,1.11,0.94,0.62,1.2,2.2,2.57181216,2.018753288,-5.052571429,0.878632684,4.406194467,0.442857143
0,3,3,1.11,0.94,0.76,1.2,2.05,2.57181216,2.075848892,-5.258,0.821684269,4.409199392,0.542857143
1,3,3,1.11,0.94,0.75,1.2,1.36,2.57181216,2.074614707,-5.617714286,0.825506056,4.191981316,0.535714286
0,2,4,1.11,0.94,0.69,1.2,1.96,2.57181216,2.052287148,-5.232857143,0.849204795,4.796404394,0.492857143
0,3,3,1.11,0.94,0.72,1.2,1.5,2.57181216,1.956808277,-5.501142857,0.837187746,3.629091633,0.514285714
1,2,4,1.11,0.94,0.61,1.2,1.54,2.57181216,1.927848949,-5.331285714,0.88300399,4.374269702,0.435714286
1,3,3,1.11,0.94,0.64,1.2,1.63,2.57181216,1.758039163,-5.330857143,0.870018638,2.636609657,0.457142857
0,3,3,1.11,0.94,0.66,1.2,2.36,2.57181216,1.7456,-5.012571429,0.861571855,2.826333714,0.471428571
0,2,4,1.11,0.94,0.72,1.2,1.33,2.57181216,2.043777903,-5.588571429,0.837187746,5.06754257,0.514285714
2,1,5,1.19,1.11,0.76,2.0,2.02,2.645968153,2.215655462,-4.918857143,0.847873409,4.334129929,0.542857143
1,2,4,1.14,1.11,0.59,2.0,1.83,2.645968153,1.999521816,-4.652214286,0.902538304,4.239946133,0.421428571
2,2,4,1.14,1.11,0.71,2.0,1.3,2.645968153,2.027412322,-5.059,0.851209111,4.753545157,0.507142857
0,1,5,1.19,1.11,0.61,2.0,2.16,2.645968153,1.7893,-4.705714286,0.911147544,4.214379768,0.435714286
3,1,5,1.19,1.11,0.64,2.0,1.6,2.645968153,1.955055241,-4.989142857,0.897748315,4.185329504,0.457142857
1,2,4,1.14,1.11,0.62,2.0,2.2,2.645968153,2.04250519,-4.522857143,0.889134269,4.295884798,0.442857143
0,1,5,1.19,1.11,0.58,2.0,1.9,2.645968153,1.98797081,-4.786,0.92495281,4.268641938,0.414285714
2,2,4,1.14,1.11,0.6,2.0,2.28,2.645968153,2.001424352,-4.470857143,0.898025612,4.253683871,0.428571429
1,1,5,1.19,1.11,0.6,2.0,2.05,2.645968153,2.075848892,-4.743714286,0.915703282,4.229645185,0.428571429
2,2,4,1.14,1.11,0.69,2.0,1.96,2.645968153,2.052287148,-4.703142857,0.859354653,4.610146322,0.492857143
0,1,5,1.19,1.11,0.64,2.0,1.5,2.645968153,1.956808277,-5.034857143,0.897748315,4.185329504,0.457142857
2,2,4,1.14,1.11,0.61,2.0,1.54,2.645968153,1.927848949,-4.801571429,0.893557823,4.272305656,0.435714286
3,1,5,1.19,1.11,0.76,2.0,1.38,2.645968153,2.0478,-5.266285714,0.847873409,4.334129929,0.542857143
1,2,4,1.14,1.11,0.58,2.0,1.63,2.645968153,1.758039163,-4.723571429,0.907096578,4.231037424,0.414285714
0,1,5,1.19,1.11,0.62,2.0,2.36,2.645968153,1.7456,-4.626285714,0.906636913,4.201909459,0.442857143
2,2,4,1.14,1.11,0.72,2.0,1.33,2.645968153,2.043777903,-5.058857143,0.847193974,4.83550839,0.514285714
0,3,3,1.12,0.9,0.75,1.23,1.93,2.54631216,2.488353231,-5.328928571,0.828794925,4.038436783,0.535714286
0,3,3,1.12,0.9,0.58,1.23,2.18,2.54631216,1.932227032,-5.042,0.899954085,2.217154328,0.414285714
1,3,3,1.12,0.9,0.61,1.23,1.88,2.54631216,1.930310969,-5.199714286,0.886521935,2.360207097,0.435714286
1,3,3,1.12,0.9,0.62,1.23,1.66,2.54631216,1.960053288,-5.308285714,0.882133212,2.422217868,0.442857143
1,3,3,1.12,0.9,0.65,1.23,1.83,2.54631216,1.999521816,-5.2675,0.869223946,2.654159611,0.464285714
1,3,3,1.12,0.9,0.62,1.23,1.81,2.54631216,1.974643898,-5.241857143,0.882133212,2.422217868,0.442857143
0,2,4,1.12,0.9,0.71,1.23,1.3,2.54631216,2.027412322,-5.605285714,0.844506677,4.893283618,0.507142857
0,2,4,1.12,0.9,0.63,1.23,2.2,2.54631216,2.009082787,-5.078,0.877787728,4.40188355,0.45
1,3,3,1.12,0.9,0.65,1.23,1.55,2.54631216,2.16999357,-5.3975,0.869223946,2.654159611,0.464285714
0,2,4,1.12,0.9,0.65,1.23,2.16,2.54631216,1.7893,-5.114285714,0.869223946,4.487388459,0.464285714
0,2,4,1.12,0.9,0.68,1.23,1.6,2.54631216,1.955055241,-5.413714286,0.856687062,4.660378568,0.485714286
1,3,3,1.12,0.9,0.6,1.23,1.91,2.54631216,2.103725488,-5.175714286,0.890954544,2.305473586,0.428571429
0,2,4,1.12,0.9,0.62,1.23,2.2,2.54631216,2.04250519,-5.069142857,0.882133212,4.367500084,0.442857143
0,2,4,1.12,0.9,0.63,1.23,1.9,2.54631216,1.98797081,-5.213,0.877787728,4.40188355,0.45
0,2,4,1.12,0.9,0.6,1.23,2.28,2.54631216,2.001424352,-5.017142857,0.890954544,4.314760168,0.428571429
0,2,4,1.12,0.9,0.62,1.23,2.2,2.54631216,2.018753288,-5.069142857,0.882133212,4.367500084,0.442857143
0,3,3,1.12,0.9,0.76,1.23,2.05,2.54631216,2.075848892,-5.274571429,0.824957911,4.243460665,0.542857143
0,3,3,1.12,0.9,0.75,1.23,1.36,2.54631216,2.074614707,-5.634285714,0.828794925,4.038436783,0.535714286
0,2,4,1.12,0.9,0.69,1.23,1.96,2.54631216,2.052287148,-5.249428571,0.852588081,4.730942505,0.492857143
0,2,4,1.12,0.9,0.68,1.23,1.5,2.54631216,1.956808277,-5.462285714,0.856687062,4.660378568,0.485714286
0,2,4,1.12,0.9,0.76,1.23,1.2,2.54631216,2.256932729,-5.736,0.824957911,5.443008864,0.542857143
1,2,4,1.12,0.9,0.61,1.23,1.54,2.54631216,1.927848949,-5.347857143,0.886521935,4.33849872,0.435714286
1,2,4,1.12,0.9,0.58,1.23,1.63,2.54631216,1.758039163,-5.269857143,0.899954085,4.282700587,0.414285714
0,2,4,1.12,0.9,0.66,1.23,2.36,2.54631216,1.7456,-5.029142857,0.865004412,4.538867544,0.471428571
0,2,4,1.12,0.9,0.72,1.23,1.33,2.54631216,2.043777903,-5.605142857,0.840523155,4.985821742,0.514285714
0,3,3,0.92,0.8,0.58,1.78,2.18,2.392361909,1.932227032,-3.873428571,0.828529158,3.72844883,0.414285714
0,3,3,0.92,0.8,0.6,1.78,1.91,2.392361909,2.103725488,-4.007142857,0.820243866,4.094976591,0.428571429
0,1,5,0.92,0.8,0.58,1.78,1.9,2.392361909,1.98797081,-3.989428571,0.828529158,4.852011679,0.414285714
3,1,5,0.92,0.8,0.6,1.78,2.05,2.392361909,2.075848892,-3.947142857,0.820243866,4.920547752,0.428571429
2,2,4,0.92,0.8,0.58,1.78,1.63,2.392361909,1.758039163,-4.101285714,0.828529158,5.290230255,0.414285714
1,1,5,1.64,1.38,0.76,0.82,2.02,3.025719299,2.215655462,-7.869714286,0.995187322,3.647724696,0.542857143
2,1,5,1.64,1.38,0.61,0.82,2.16,3.025719299,1.7893,-7.656571429,1.069455032,4.013529698,0.435714286
3,1,5,1.64,1.38,0.64,0.82,1.6,3.025719299,1.955055241,-7.94,1.053727752,3.910715044,0.457142857
0,1,5,1.64,1.38,0.58,0.82,1.9,3.025719299,1.98797081,-7.736857143,1.085658896,4.134134169,0.414285714
1,1,5,1.64,1.38,0.6,0.82,2.05,3.025719299,2.075848892,-7.694571429,1.074802307,4.051656452,0.428571429
2,1,5,1.64,1.38,0.64,0.82,1.5,3.025719299,1.956808277,-7.985714286,1.053727752,3.910715044,0.457142857
1,1,5,1.64,1.38,0.62,0.82,2.36,3.025719299,1.7456,-7.577142857,1.0641607,3.977375872,0.442857143
1,3,3,1.36,1.03,0.75,1.1,1.93,2.689118757,2.488353231,-6.423785714,0.907727775,2.006961882,0.535714286
1,3,3,1.36,1.03,0.58,1.1,2.18,2.689118757,1.932227032,-6.136857143,0.985663998,1.668175568,0.414285714
1,3,3,1.36,1.03,0.61,1.1,1.88,2.689118757,1.930310969,-6.294571429,0.970952595,1.637165916,0.435714286
1,3,3,1.36,1.03,0.62,1.1,1.66,2.689118757,1.960053288,-6.403142857,0.966145899,1.635497257,0.442857143
0,3,3,1.36,1.03,0.91,1.1,1.22,2.689118757,2.255580699,-7.057857143,0.844854855,3.697167475,0.65
1,3,3,1.36,1.03,0.89,1.1,1.24,2.689118757,2.250676638,-7.013428571,0.8522335,3.384518324,0.635714286
0,3,3,1.36,1.03,0.95,1.1,1.2,2.689118757,2.354367494,-7.134857143,0.830474347,4.444142021,0.678571429
1,3,3,1.36,1.03,0.65,1.1,1.83,2.689118757,1.999521816,-6.362357143,0.952007179,1.65607887,0.464285714
1,3,3,1.36,1.03,0.62,1.1,1.81,2.689118757,1.974643898,-6.336714286,0.966145899,1.635497257,0.442857143
0,3,3,1.36,1.03,0.94,1.1,1.2,2.689118757,2.28415608,-7.118857143,0.834023383,4.240564637,0.671428571
2,3,3,1.36,1.03,0.63,1.1,2.01,2.689118757,1.899964183,-6.258357143,0.96138656,1.638103726,0.45
1,2,4,1.36,1.03,0.71,1.1,1.3,2.689118757,2.027412322,-6.700142857,0.924935884,3.865882087,0.507142857
1,3,3,1.36,1.03,0.9,1.1,1.23,2.689118757,2.25865608,-7.035571429,0.848528137,3.536264945,0.642857143
1,3,3,1.36,1.03,0.8,1.1,1.78,2.689118757,2.147680955,-6.563428571,0.887097598,2.361248534,0.571428571
1,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.009082787,-6.217142857,0.938276306,1.714993775,0.485714286
2,3,3,1.36,1.03,0.86,1.1,1.27,2.689118757,2.209114963,-6.947857143,0.863546335,2.97943978,0.614285714
1,3,3,1.36,1.03,0.65,1.1,1.55,2.689118757,2.16999357,-6.492357143,0.952007179,1.65607887,0.464285714
1,3,3,1.36,1.03,0.69,1.1,2.16,2.689118757,1.7893,-6.245714286,0.933786945,1.743240294,0.492857143
1,1,5,1.36,1.03,0.64,1.1,1.6,2.689118757,1.955055241,-6.456,0.95667388,4.006655603,0.457142857
0,3,3,1.36,1.03,0.98,1.1,1.14,2.689118757,2.320966993,-7.224857143,0.820006183,5.133561661,0.7
1,3,3,1.36,1.03,0.6,1.1,1.91,2.689118757,2.103725488,-6.270571429,0.975807358,1.643139289,0.428571429
0,2,4,1.36,1.03,0.78,1.1,2.33,2.689118757,2.362863567,-6.233285714,0.895236108,4.067385882,0.557142857
1,2,4,1.36,1.03,0.62,1.1,2.2,2.689118757,2.04250519,-6.164,0.966145899,3.843019677,0.442857143
0,3,3,1.36,1.03,0.63,1.1,1.9,2.689118757,1.98797081,-6.307857143,0.96138656,1.638103726,0.45
1,3,3,1.36,1.03,0.67,1.1,2.28,2.689118757,2.001424352,-6.17,0.942809042,1.691073151,0.478571429
1,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.018753288,-6.217142857,0.938276306,1.714993775,0.485714286
0,3,3,1.36,1.03,0.76,1.1,2.05,2.689118757,2.075848892,-6.369428571,0.903525332,2.067440009,0.542857143
1,3,3,1.36,1.03,0.75,1.1,1.36,2.689118757,2.074614707,-6.729142857,0.907727775,2.006961882,0.535714286
0,3,3,1.36,1.03,0.96,1.1,1.17,2.689118757,2.311832729,-7.171428571,0.826955388,4.66022342,0.685714286
